"uf","br","total_acidentes","total_acidentes_fatais","taxa_letalidade"
RS,392,364,20,5.49
RS,470,322,22,6.83
RS,158,255,19,7.45
RS,101,137,7,5.11
RS,153,135,6,4.44
RS,287,120,9,7.50
RS,293,110,10,9.09
RS,472,104,8,7.69
RS,448,86,2,2.33
RS,471,81,5,6.17
RS,468,45,5,11.11
RS,0,17,0,0.00
RS,480,7,0,0.00
SC,101,4222,140,3.32
SC,282,1379,82,5.95
SC,470,1066,82,7.69
SC,280,880,36,4.09
SC,116,328,19,5.79
SC,163,135,4,2.96
SC,153,71,7,9.86
SC,480,58,3,5.17
SC,158,35,1,2.86
SC,0,10,0,0.00
SC,285,2,0,0.00
SE,101,346,29,8.38
SE,235,241,15,6.22
SE,0,2,0,0.00
SP,116,3249,143,4.40
SP,381,651,32,4.92
SP,153,449,21,4.68
SP,101,256,6,2.34
SP,488,33,1,3.03
SP,459,29,1,3.45
SP,0,9,0,0.00
SP,262,7,1,14.29
TO,153,482,60,12.45
TO,10,127,9,7.09
TO,242,26,4,15.38
TO,230,21,8,38.10
TO,226,9,1,11.11
TO,235,9,1,11.11
TO,0,3,0,0.00
